,Region_ID,abbreviation,Region_Name,count,volume_(mm^3),density_(cells/mm^3),sex,drug,dataset,scaled_cell_density,Brain_Area,method
0,184,FRP,Frontal pole cerebral cortex,97,0.10961208,884.93895928259,m,ket,ket4,884.93895928259,Cortex,serial2p
1,184,FRP,Frontal pole cerebral cortex,49,0.123300576,397.4028474935916,f,ket,ket2,397.4028474935916,Cortex,serial2p
2,184,FRP,Frontal pole cerebral cortex,59,0.097500816,605.1231407129967,m,ket,ket3,605.1231407129967,Cortex,serial2p
3,184,FRP,Frontal pole cerebral cortex,86,0.11639664,738.8529428340887,m,sal,sal4,738.8529428340887,Cortex,serial2p
4,184,FRP,Frontal pole cerebral cortex,23,0.103357296,222.52904139442657,m,sal,sal3,222.52904139442657,Cortex,serial2p
5,184,FRP,Frontal pole cerebral cortex,29,0.084842064,341.8115806329276,f,sal,sal2,341.8115806329276,Cortex,serial2p
6,184,FRP,Frontal pole cerebral cortex,91,0.0822384,1106.5390377244694,f,psi,psi1,1106.5390377244694,Cortex,serial2p
7,184,FRP,Frontal pole cerebral cortex,72,0.12864312,559.6879180169137,f,sal,sal1,559.6879180169137,Cortex,serial2p
8,184,FRP,Frontal pole cerebral cortex,187,0.147999744,1263.5156990541823,m,psi,psi4,1263.5156990541823,Cortex,serial2p
9,184,FRP,Frontal pole cerebral cortex,69,0.123281712,559.6937200223176,m,psi,psi3,559.6937200223176,Cortex,serial2p
10,184,FRP,Frontal pole cerebral cortex,34,0.087446448,388.80938880444864,f,psi,psi2,388.80938880444864,Cortex,serial2p
11,184,FRP,Frontal pole cerebral cortex,107,0.109997136,972.7525996676859,f,ket,ket1,972.7525996676859,Cortex,serial2p
12,985,MOp,Primary motor area,436,1.13695992,383.47877733456073,f,sal,sal1,383.47877733456073,Cortex,serial2p
13,985,MOp,Primary motor area,401,1.502932176,266.81177394661086,f,ket,ket2,266.81177394661086,Cortex,serial2p
14,985,MOp,Primary motor area,339,1.321906608,256.4477686611277,m,ket,ket3,256.4477686611277,Cortex,serial2p
15,985,MOp,Primary motor area,525,1.267420032,414.22731749911304,m,ket,ket4,414.22731749911304,Cortex,serial2p
16,985,MOp,Primary motor area,570,1.27845936,445.8491351653133,f,psi,psi1,445.8491351653133,Cortex,serial2p
17,985,MOp,Primary motor area,134,1.203228144,111.3670758685312,f,psi,psi2,111.3670758685312,Cortex,serial2p
18,985,MOp,Primary motor area,452,1.571771232,287.5736562660284,m,psi,psi3,287.5736562660284,Cortex,serial2p
19,985,MOp,Primary motor area,735,1.274670288,576.6197007331515,m,psi,psi4,576.6197007331515,Cortex,serial2p
20,985,MOp,Primary motor area,391,1.310593536,298.33811113806684,f,sal,sal2,298.33811113806684,Cortex,serial2p
21,985,MOp,Primary motor area,452,1.504527552,300.42653549225264,m,sal,sal3,300.42653549225264,Cortex,serial2p
22,985,MOp,Primary motor area,469,1.1790324,397.7838098427151,f,ket,ket1,397.7838098427151,Cortex,serial2p
23,985,MOp,Primary motor area,590,1.496806272,394.17258668461807,m,sal,sal4,394.17258668461807,Cortex,serial2p
24,993,MOs,Secondary motor area,753,1.383468768,544.284061496067,m,ket,ket3,544.284061496067,Cortex,serial2p
25,993,MOs,Secondary motor area,781,1.799995968,433.8898608021771,f,ket,ket2,433.8898608021771,Cortex,serial2p
26,993,MOs,Secondary motor area,886,1.581906528,560.0836612768564,m,sal,sal4,560.0836612768564,Cortex,serial2p
27,993,MOs,Secondary motor area,811,1.526891904,531.1443448455144,m,ket,ket4,531.1443448455144,Cortex,serial2p
28,993,MOs,Secondary motor area,850,1.332072432,638.1034391078819,f,ket,ket1,638.1034391078819,Cortex,serial2p
29,993,MOs,Secondary motor area,1276,1.418500224,899.5416274252207,f,psi,psi1,899.5416274252207,Cortex,serial2p
30,993,MOs,Secondary motor area,160,1.291423248,123.89431601745487,f,psi,psi2,123.89431601745487,Cortex,serial2p
31,993,MOs,Secondary motor area,771,1.858443408,414.8633187758602,m,psi,psi3,414.8633187758602,Cortex,serial2p
32,993,MOs,Secondary motor area,967,1.452116448,665.9245553838668,m,psi,psi4,665.9245553838668,Cortex,serial2p
33,993,MOs,Secondary motor area,848,1.353468528,626.5383955791546,f,sal,sal1,626.5383955791546,Cortex,serial2p
34,993,MOs,Secondary motor area,630,1.407350592,447.6496500454096,f,sal,sal2,447.6496500454096,Cortex,serial2p
35,993,MOs,Secondary motor area,533,1.681171488,317.04082766362023,m,sal,sal3,317.04082766362023,Cortex,serial2p
36,353,SSp-n,Primary somatosensory area nose,165,0.366207696,450.56398814731625,m,sal,sal4,450.56398814731625,Cortex,serial2p
37,353,SSp-n,Primary somatosensory area nose,99,0.300322224,329.64593389532166,m,sal,sal3,329.64593389532166,Cortex,serial2p
38,353,SSp-n,Primary somatosensory area nose,62,0.390858624,158.62512988839669,f,sal,sal2,158.62512988839669,Cortex,serial2p
39,353,SSp-n,Primary somatosensory area nose,84,0.401847264,209.03464456585178,f,sal,sal1,209.03464456585178,Cortex,serial2p
40,353,SSp-n,Primary somatosensory area nose,128,0.369869904,346.0676270648936,m,psi,psi4,346.0676270648936,Cortex,serial2p
41,353,SSp-n,Primary somatosensory area nose,107,0.397292112,269.3232429442244,f,psi,psi2,269.3232429442244,Cortex,serial2p
42,353,SSp-n,Primary somatosensory area nose,111,0.440751456,251.84261671503134,f,psi,psi1,251.84261671503134,Cortex,serial2p
43,353,SSp-n,Primary somatosensory area nose,78,0.36198216,215.48023250648595,m,ket,ket4,215.48023250648595,Cortex,serial2p
44,353,SSp-n,Primary somatosensory area nose,145,0.495605088,292.5716533402498,m,ket,ket3,292.5716533402498,Cortex,serial2p
